title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
For Sale,502050000000,,167350000000,Lagos,,,3,,,0,,,"Featured For Sale 20 -50 million Naira Houses in lagos Nigeria ₦50M For Sale 20 -50 million Naira Houses in lagos Nigeria 3 bedroom duplex in sangotedo Ajah for sale ₦50M Super Distress Sale first come first serve. Just out Newly Built... Duplex, for sale Details realtor z 1 week ago realtor z 1 week ago",,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",295fe2f9d2a31a3942ec8eba1da2e0a04ca918f8da24efbd532fefb66cd5531e
For Sale,853000000000,,284333333333,Lekki,,,3,,,0,,,Featured For Sale Installment ₦85M For Sale Installment 3 bedroom Terrace duplex in Sangotedo Ajah ₦85M CLASSY 3 BEDROOM TERRACE DUPLEX FOR SALE SANGOTEDO – LEKKI |... Terrace Duplex Details realtor z 1 week ago realtor z 1 week ago,Installment,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4711251,3.8147504",2e99feeee601901a156c45b3149a23dc524d2603888ddd7d554261792fe7e918
For Sale,9500000000,44600938,,Victoria Island,,,,,,0,213 sqm,,"Featured For Sale Land for sale in Victoria island ₦9.5B For Sale Land for sale in Victoria island land in oniru victoria island for sale ₦9.5B Prime 3,213sqm of Residential Land For Sale Located in one of... Land Details De Light Properties 2 weeks ago De Light Properties 2 weeks ago",,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4300279,3.4259904",95955e1f276457742df66da34d08fb71a5df7b0b45b31bcf255012c72b1cb86a
For Sale,7505000000,,1501000000,Lagos,,,5,,,0,,,"Featured For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE 5 bedroom duplex with swimming pool in lagos ₦750M For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE 5 bedroom duplex with swimming pool in lagos 5 bedroom duplex in ikate lekki for sale ₦750M Contemporary 5 Bedroom Detached Duplex For sale Ikate Lekki , Lagos... 5 bedroom duplex Details De Light Properties 2 weeks ago De Light Properties 2 weeks ago",,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",4883c8b8281424fc6a0944e1ec9a090dd90e73578b943bd71c3818521bbcb091
For Sale,2505000000,,501000000,Lagos,,,5,,,0,,,"Featured For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE ₦250M For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE 5 bedroom duplex in Ajah ₦250M Well finished 5 Bedroom Fully Detached Duplex For sale Ajah ,... 5 bedroom duplex Details realtor z 2 weeks ago realtor z 2 weeks ago",,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",1e7b38a004009d59341cd9f6f02c13293fe78b6abcc10fbb0f6e781ec68b1d80
For Sale,55000000,,,Lagos,,,,,,0,,,Featured For Sale land for sale in lagos ₦55M For Sale land for sale in lagos 2 plots of land in sangotedo ajah for sale ₦55M This is the available 2plots of land for sale located at... Land Details realtor z 2 days ago realtor z 2 days ago,,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",9982abe81bb3e2d8c12cefa410bd53e5a176a427938ff1e152b42ab06d1c8002
For Sale,752000000,,376000000,Ajah,,,2,,,0,,,"Featured For Sale 2 bedroom flat for sale in Ajah ₦75M For Sale 2 bedroom flat for sale in Ajah 2 bedroom in sangotedo Ajah ₦75M Step into comfort at Citadel Views Estate, Sangotedo! Newly built, modern... Apartment Details realtor z 5 days ago realtor z 5 days ago",,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4694716,3.5623861",d40c594357be1cf85c7582dce9c4016fd713f00bec7d84aa6a0d58cb4fad00e0
For Sale,583000000,,194333333,Lekki,,,3,,,0,,,Featured For Sale 3 BEDROOM FLAT/APARTMENT FOR RENT IN LEKKI 3 BEDROOM FLAT/APARTMENT FOR SALE IN LEKKI ₦58M For Sale 3 BEDROOM FLAT/APARTMENT FOR RENT IN LEKKI 3 BEDROOM FLAT/APARTMENT FOR SALE IN LEKKI 3 bedroom Apartment in ikota lekki ₦58M FOR SALE Highly discounted 3 bedroom Apartment in a serene &... 3 bedroom Apartment Details realtor z 1 week ago realtor z 1 week ago,,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4711251,3.8147504",19da2d535128195a1f261ccd72634814d8da00772f40fcc2936672caf62ec5b2
For Sale,502050000000,,167350000000,Lagos,,,3,,,0,,,"Featured For Sale 20 -50 million Naira Houses in lagos Nigeria ₦50M For Sale 20 -50 million Naira Houses in lagos Nigeria 3 bedroom duplex in sangotedo Ajah for sale ₦50M Super Distress Sale first come first serve. Just out Newly Built... Duplex, for sale Details realtor z 1 week ago realtor z 1 week ago",,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",295fe2f9d2a31a3942ec8eba1da2e0a04ca918f8da24efbd532fefb66cd5531e
For Sale,853000000000,,284333333333,Lekki,,,3,,,0,,,Featured For Sale Installment ₦85M For Sale Installment 3 bedroom Terrace duplex in Sangotedo Ajah ₦85M CLASSY 3 BEDROOM TERRACE DUPLEX FOR SALE SANGOTEDO – LEKKI |... Terrace Duplex Details realtor z 1 week ago realtor z 1 week ago,Installment,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4711251,3.8147504",2e99feeee601901a156c45b3149a23dc524d2603888ddd7d554261792fe7e918
For Sale,9500000000,44600938,,Victoria Island,,,,,,0,213 sqm,,"Featured For Sale Land for sale in Victoria island ₦9.5B For Sale Land for sale in Victoria island land in oniru victoria island for sale ₦9.5B Prime 3,213sqm of Residential Land For Sale Located in one of... Land Details De Light Properties 2 weeks ago De Light Properties 2 weeks ago",,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4300279,3.4259904",95955e1f276457742df66da34d08fb71a5df7b0b45b31bcf255012c72b1cb86a
For Sale,7505000000,,1501000000,Lagos,,,5,,,0,,,"Featured For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE 5 bedroom duplex with swimming pool in lagos ₦750M For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE 5 bedroom duplex with swimming pool in lagos 5 bedroom duplex in ikate lekki for sale ₦750M Contemporary 5 Bedroom Detached Duplex For sale Ikate Lekki , Lagos... 5 bedroom duplex Details De Light Properties 2 weeks ago De Light Properties 2 weeks ago",,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",4883c8b8281424fc6a0944e1ec9a090dd90e73578b943bd71c3818521bbcb091
For Sale,2505000000,,501000000,Lagos,,,5,,,0,,,"Featured For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE ₦250M For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE 5 bedroom duplex in Ajah ₦250M Well finished 5 Bedroom Fully Detached Duplex For sale Ajah ,... 5 bedroom duplex Details realtor z 2 weeks ago realtor z 2 weeks ago",,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",1e7b38a004009d59341cd9f6f02c13293fe78b6abcc10fbb0f6e781ec68b1d80
"2 bedroom flat in gbetu new road Lekki ₦800K For Rent Featured 2 bedroom in ikate for shortlet ₦155K For Rent short let Property in lagos, Nigeria Featured 4 be",8002000,,4001000,Lagos,,,2,,,0,,,"2 bedroom flat in gbetu new road Lekki ₦800K For Rent Featured 2 bedroom in ikate for shortlet ₦155K For Rent short let Property in lagos, Nigeria Featured 4 bedroom in ikate Lekki for rent on shortlet ₦250K For Rent short let Property in lagos, Nigeria Featured ROOM AND PARLOUR TO RENT IN IKORODU ₦300K For Rent Hot Offer Featured 1 bedroom short let in Ajao Estate Lagos For Rent short let Property in lagos, Nigeria Featured 2 bedroom in Chevron ALternative for rent For Rent short let Property in lagos, Nigeria Featured Load More",,,,,,,,,https://nigeriapropertyzone.com.ng/property/2-bedroom-flat-in-gbetu-new-road-lekki/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",8f3f130ade9065915e051b7f17e37938fe5642435e90e89aa24a1dee120c456b
"2 bedroom flat in gbetu new road Lekki ₦800K For Rent Featured 2 bedroom in ikate for shortlet ₦155K For Rent short let Property in lagos, Nigeria Featured 4 be",8002000,,4001000,Lagos,,,2,,,0,,,"2 bedroom flat in gbetu new road Lekki ₦800K For Rent Featured 2 bedroom in ikate for shortlet ₦155K For Rent short let Property in lagos, Nigeria Featured 4 bedroom in ikate Lekki for rent on shortlet ₦250K For Rent short let Property in lagos, Nigeria Featured ROOM AND PARLOUR TO RENT IN IKORODU ₦300K For Rent Hot Offer Featured 1 bedroom short let in Ajao Estate Lagos For Rent short let Property in lagos, Nigeria Featured 2 bedroom in Chevron ALternative for rent For Rent short let Property in lagos, Nigeria Featured Load More",,,,,,,,,https://nigeriapropertyzone.com.ng/property/2-bedroom-flat-in-gbetu-new-road-lekki/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",8f3f130ade9065915e051b7f17e37938fe5642435e90e89aa24a1dee120c456b
"2 bedroom flat in gbetu new road Lekki ₦800K For Rent Featured 2 bedroom in ikate for shortlet ₦155K For Rent short let Property in lagos, Nigeria Featured 4 be",8002000,,4001000,Lagos,,,2,,,0,,,"2 bedroom flat in gbetu new road Lekki ₦800K For Rent Featured 2 bedroom in ikate for shortlet ₦155K For Rent short let Property in lagos, Nigeria Featured 4 bedroom in ikate Lekki for rent on shortlet ₦250K For Rent short let Property in lagos, Nigeria Featured ROOM AND PARLOUR TO RENT IN IKORODU ₦300K For Rent Hot Offer Featured 1 bedroom short let in Ajao Estate Lagos For Rent short let Property in lagos, Nigeria Featured 2 bedroom in Chevron ALternative for rent For Rent short let Property in lagos, Nigeria Featured",,,,,,,,,https://nigeriapropertyzone.com.ng/property/2-bedroom-flat-in-gbetu-new-road-lekki/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",8f3f130ade9065915e051b7f17e37938fe5642435e90e89aa24a1dee120c456b
2 bedroom flat in gbetu new road Lekki ₦800K For Rent Featured,800000,,400000,Lekki,,,2,,,0,,,2 bedroom flat in gbetu new road Lekki ₦800K For Rent Featured,,,,,,,,,https://nigeriapropertyzone.com.ng/property/2-bedroom-flat-in-gbetu-new-road-lekki/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4711251,3.8147504",eb3db432505a7db0e4596b76e92017b5dc40dc03f6195cf4ccc1739947e1f126
"2 bedroom in ikate for shortlet ₦155K For Rent short let Property in lagos, Nigeria Featured",155000,,77500,Lagos,,,2,,,0,,,"2 bedroom in ikate for shortlet ₦155K For Rent short let Property in lagos, Nigeria Featured",,,,,,,,,https://nigeriapropertyzone.com.ng/property/2-bedroom-in-ikate-for-shortlet/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",ebaeaca70df7fb5eca9bd81c4e37cf98f16b873d83051b4c55d857e37338dcb6
"4 bedroom in ikate Lekki for rent on shortlet ₦250K For Rent short let Property in lagos, Nigeria Featured",250000,,62500,Lagos,,,4,,,0,,,"4 bedroom in ikate Lekki for rent on shortlet ₦250K For Rent short let Property in lagos, Nigeria Featured",,,,,,,,,https://nigeriapropertyzone.com.ng/property/4-bedroom-in-ikate-lekki-for-rent/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",55eae030faa40ab6463886067adc506a8631877f08f972ed5572c070138b07d1
"1 bedroom short let in Ajao Estate Lagos For Rent short let Property in lagos, Nigeria Featured",,,,Lagos,,,1,,,0,,,"1 bedroom short let in Ajao Estate Lagos For Rent short let Property in lagos, Nigeria Featured",,,,,,,,,https://nigeriapropertyzone.com.ng/property/1-bedroom-short-let-in-ajao-estate-lagos/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",86560edc0f909fa7b754f7f76152d0f90f81d7e8d077d8c758854acc96a9c49f
"2 bedroom in Chevron ALternative for rent For Rent short let Property in lagos, Nigeria Featured",,,,Lagos,,,2,,,0,,,"2 bedroom in Chevron ALternative for rent For Rent short let Property in lagos, Nigeria Featured",,,,,,,,,https://nigeriapropertyzone.com.ng/property/2-bedroom-in-chevron-alternative-for-rent/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",4b73e53a349f913aea6add67acd34ec0c2529d4c81736fef82d481a07706e267
Lekki,,,,Lekki,,,,,,0,,,Lekki,,,,,,,,,https://nigeriapropertyzone.com.ng/city/lekki/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4711251,3.8147504",28b9151588463ad14646f872b8f1e34a75c1cfb4520d1919df13405dd3f0d345
lagos mainland,,,,Lagos,,,,,,0,,,lagos mainland,,,,,,,,,https://nigeriapropertyzone.com.ng/city/lagos-mainland/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",501eb26d2fb712c7ac7383da588098843c89d2e2d1d445bc4dc5f3ca3a7bab28
lagos island,,,,Lagos,,,,,,0,,,lagos island Ajah,,,,,,,,,https://nigeriapropertyzone.com.ng/city/lagos-island/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",356a8d7c8edb07d5a641f052b6d5249dbc527f363df69749001627ef6344bc80
Ajah,,,,Ajah,,,,,,0,,,Ajah,,,,,,,,,https://nigeriapropertyzone.com.ng/city/ajah/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4694716,3.5623861",3145e80fa13bed49151a8b871d985d2c5e59727eec3f592374ae8123159b5bd0
ikeja,,,,Ikeja,,,,,,0,,,ikeja,,,,,,,,,https://nigeriapropertyzone.com.ng/city/ikeja/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.5960605,3.340787",c3d31d891f3fc0405711e1798816af180204426d9258583bdbe2551a6805c998
For Rent,60000000,,12000000,Lagos,,,5,,,0,,,"Prev Next Featured For Rent ₦60K For Rent single room in ikorodu for rent ₦60K SINGLE ROOM. Single room available @ first gate oko filling, opposite... single room, self contain Details realtor z 2 weeks ago realtor z 2 weeks ago Featured For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE 5 bedroom duplex with swimming pool in lagos ₦750M For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE 5 bedroom duplex with swimming pool in lagos 5 bedroom duplex in ikate lekki for sale ₦750M Contemporary 5 Bedroom Detached Duplex For sale Ikate Lekki , Lagos... 5 bedroom duplex Details De Light Properties 2 weeks ago De Light Properties 2 weeks ago Featured For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE ₦250M For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE 5 bedroom duplex in Ajah ₦250M Well finished 5 Bedroom Fully Detached Duplex For sale Ajah ,... 5 bedroom duplex Details realtor z 2 weeks ago realtor z 2 weeks ago Featured For Sale land for sale in lagos ₦55M For Sale land for sale in lagos 2 plots of land in sango",,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-rent/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",b299cf61b42f5b1e48712cdce63276d9506d6f6b7c59a31e6eef6ca68da5fed8
For Rent,60000000,,12000000,Lagos,,,5,,,0,,,"Featured For Rent ₦60K For Rent single room in ikorodu for rent ₦60K SINGLE ROOM. Single room available @ first gate oko filling, opposite... single room, self contain Details realtor z 2 weeks ago realtor z 2 weeks ago Featured For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE 5 bedroom duplex with swimming pool in lagos ₦750M For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE 5 bedroom duplex with swimming pool in lagos 5 bedroom duplex in ikate lekki for sale ₦750M Contemporary 5 Bedroom Detached Duplex For sale Ikate Lekki , Lagos... 5 bedroom duplex Details De Light Properties 2 weeks ago De Light Properties 2 weeks ago Featured For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE ₦250M For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE 5 bedroom duplex in Ajah ₦250M Well finished 5 Bedroom Fully Detached Duplex For sale Ajah ,... 5 bedroom duplex Details realtor z 2 weeks ago realtor z 2 weeks ago Featured For Sale land for sale in lagos ₦55M For Sale land for sale in lagos 2 plots of land in sangotedo ajah",,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-rent/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",b299cf61b42f5b1e48712cdce63276d9506d6f6b7c59a31e6eef6ca68da5fed8
For Sale,7505000000,,1501000000,Lagos,,,5,,,0,,,"Featured For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE 5 bedroom duplex with swimming pool in lagos ₦750M For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE 5 bedroom duplex with swimming pool in lagos 5 bedroom duplex in ikate lekki for sale ₦750M Contemporary 5 Bedroom Detached Duplex For sale Ikate Lekki , Lagos... 5 bedroom duplex Details De Light Properties 2 weeks ago De Light Properties 2 weeks ago",,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",4883c8b8281424fc6a0944e1ec9a090dd90e73578b943bd71c3818521bbcb091
For Sale,2505000000,,501000000,Lagos,,,5,,,0,,,"Featured For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE ₦250M For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE 5 bedroom duplex in Ajah ₦250M Well finished 5 Bedroom Fully Detached Duplex For sale Ajah ,... 5 bedroom duplex Details realtor z 2 weeks ago realtor z 2 weeks ago",,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",1e7b38a004009d59341cd9f6f02c13293fe78b6abcc10fbb0f6e781ec68b1d80
For Sale,55000000,,,Lagos,,,,,,0,,,Featured For Sale land for sale in lagos ₦55M For Sale land for sale in lagos 2 plots of land in sangotedo ajah for sale ₦55M This is the available 2plots of land for sale located at... Land Details realtor z 2 days ago realtor z 2 days ago,,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",9982abe81bb3e2d8c12cefa410bd53e5a176a427938ff1e152b42ab06d1c8002
For Sale,752000000,,376000000,Ajah,,,2,,,0,,,"Featured For Sale 2 bedroom flat for sale in Ajah ₦75M For Sale 2 bedroom flat for sale in Ajah 2 bedroom in sangotedo Ajah ₦75M Step into comfort at Citadel Views Estate, Sangotedo! Newly built, modern... Apartment Details realtor z 5 days ago realtor z 5 days ago",,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4694716,3.5623861",d40c594357be1cf85c7582dce9c4016fd713f00bec7d84aa6a0d58cb4fad00e0
For Sale,583000000,,194333333,Lekki,,,3,,,0,,,Featured For Sale 3 BEDROOM FLAT/APARTMENT FOR RENT IN LEKKI 3 BEDROOM FLAT/APARTMENT FOR SALE IN LEKKI ₦58M For Sale 3 BEDROOM FLAT/APARTMENT FOR RENT IN LEKKI 3 BEDROOM FLAT/APARTMENT FOR SALE IN LEKKI 3 bedroom Apartment in ikota lekki ₦58M FOR SALE Highly discounted 3 bedroom Apartment in a serene &... 3 bedroom Apartment Details realtor z 1 week ago realtor z 1 week ago,,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4711251,3.8147504",19da2d535128195a1f261ccd72634814d8da00772f40fcc2936672caf62ec5b2
For Sale,502050000000,,167350000000,Lagos,,,3,,,0,,,"Featured For Sale 20 -50 million Naira Houses in lagos Nigeria ₦50M For Sale 20 -50 million Naira Houses in lagos Nigeria 3 bedroom duplex in sangotedo Ajah for sale ₦50M Super Distress Sale first come first serve. Just out Newly Built... Duplex, for sale Details realtor z 1 week ago realtor z 1 week ago",,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",295fe2f9d2a31a3942ec8eba1da2e0a04ca918f8da24efbd532fefb66cd5531e
For Sale,853000000000,,284333333333,Lekki,,,3,,,0,,,Featured For Sale Installment ₦85M For Sale Installment 3 bedroom Terrace duplex in Sangotedo Ajah ₦85M CLASSY 3 BEDROOM TERRACE DUPLEX FOR SALE SANGOTEDO – LEKKI |... Terrace Duplex Details realtor z 1 week ago realtor z 1 week ago,Installment,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4711251,3.8147504",2e99feeee601901a156c45b3149a23dc524d2603888ddd7d554261792fe7e918
For Sale,9500000000,44600938,,Victoria Island,,,,,,0,213 sqm,,"Featured For Sale Land for sale in Victoria island ₦9.5B For Sale Land for sale in Victoria island land in oniru victoria island for sale ₦9.5B Prime 3,213sqm of Residential Land For Sale Located in one of... Land Details De Light Properties 2 weeks ago De Light Properties 2 weeks ago",,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4300279,3.4259904",95955e1f276457742df66da34d08fb71a5df7b0b45b31bcf255012c72b1cb86a
For Sale,7505000000,,1501000000,Lagos,,,5,,,0,,,"Featured For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE 5 bedroom duplex with swimming pool in lagos ₦750M For Sale 5 BEDROOM DUPLEX IN LAGOS FOR SALE 5 bedroom duplex with swimming pool in lagos 5 bedroom duplex in ikate lekki for sale ₦750M Contemporary 5 Bedroom Detached Duplex For sale Ikate Lekki , Lagos... 5 bedroom duplex Details De Light Properties 2 weeks ago De Light Properties 2 weeks ago",,,,,,,,,https://nigeriapropertyzone.com.ng/status/for-sale/,nigeriapropertyzone.com.ng,2025-08-21 15:37:39,"6.4550575,3.3941795",4883c8b8281424fc6a0944e1ec9a090dd90e73578b943bd71c3818521bbcb091
